symbol,name,sector,start_date,end_date
AA,Alcoa,Materials,2021-12-20,
AAL,American Airlines Group,Industrials,2024-09-23,
AAON,AAON,Industrials,2024-05-03,
AAXN,Axon Enterprise,,2019-07-01,
ABMD,Abiomed,,2012-01-13,2018-05-31
ACC,American Campus Communities,,2012-01-13,2022-08-10
ACHC,Acadia Healthcare,,2017-04-06,2025-09-22
ACI,Albertsons,Consumer Staples,2012-01-13,2013-12-20
ACI,Albertsons,Consumer Staples,2025-03-11,
ACIW,ACI Worldwide,,2012-01-13,2023-11-13
ACM,AECOM,Industrials,2012-01-13,
ADC,Agree Realty,Real Estate,2023-02-06,
ADNT,Adient,,2018-08-22,2024-09-23
ADS,Alliance Data Systems,,2020-06-22,
ADS,Alliance Data Systems,,2012-01-13,2013-12-20
ADTN,ADTRAN,,2012-01-13,2014-10-31
AEIS,Advanced Energy,Information Technology,2026-02-02,
AEO,American Eagle Outfitters,,2012-01-13,2022-09-19
AFG,American Financial Group,Financials,2012-01-13,
AGCO,AGCO,Industrials,2012-01-13,
AGP,AMERIGROUP,,2012-01-13,2012-12-21
AHL,Aspen Insurance Holdings,,2012-01-13,2019-02-21
AHR,American Healthcare REIT,Real Estate,2026-02-02,
AINV,Apollo Investment,,2012-01-13,2014-02-28
AIRC,Apartment Income REIT,,2020-12-21,2024-06-28
AIT,Applied Industrial Technologies,Industrials,2024-03-18,
AJG,Arthur J. Gallagher & Co.,,2012-01-13,2016-05-27
ALB,Albemarle Corporation,,2012-01-13,2016-06-30
ALE,ALLETE Inc.,,2018-03-07,2025-12-17
ALEX,Alexander & Baldwin,,2012-06-29,2020-02-07
ALGM,Allegro MicroSystems,Information Technology,2022-12-19,
ALGN,Align Technology,,2014-01-23,2017-06-19
ALK,Alaska Air Group,Industrials,2012-01-13,2016-05-12
ALK,Alaska Air Group,Industrials,2025-03-24,
ALLY,Ally Financial,Financials,2023-09-18,
ALSN,Allison Transmission,Industrials,2026-07-06,
ALTM,Arcadium Lithium,,2024-01-02,2025-03-06
ALTR,Altair Engineering,,2024-06-24,2025-03-31
ALV,Autoliv,Consumer Discretionary,2023-03-20,
AM,Antero Midstream,Energy,2012-01-13,2012-04-30
AM,Antero Midstream,Energy,2019-09-23,
AMCX,AMC Networks,,2012-01-13,2020-12-02
AMD,Advanced Micro Devices,,2013-09-20,2017-03-20
AME,Ametek,,2012-01-13,2013-09-20
AMED,Amedisys,,2019-02-21,2025-08-19
AMG,Affiliated Managers Group,Financials,2019-12-13,
AMG,Affiliated Managers Group,Financials,2012-01-13,2014-06-30
AMH,American Homes 4 Rent,Real Estate,2024-03-01,
AMKR,Amkor Technology,Information Technology,2021-02-16,
AN,AutoNation,Consumer Discretionary,2017-08-08,
ANF,Abercrombie & Fitch,Consumer Discretionary,2013-12-20,2016-10-03
ANF,Abercrombie & Fitch,Consumer Discretionary,2024-07-22,
ANR,Alpha Natural Resources,,2012-10-01,2014-04-30
ANSS,ANSYS Inc,,2012-01-13,2017-06-19
AOL,AOL Inc,,2012-01-13,2015-06-25
AOS,A.O. Smith,,2013-11-04,2017-07-26
APG,APi Group,Industrials,2025-06-24,
APOL,Apollo Group,,2013-06-28,2015-11-30
APPF,AppFolio,Information Technology,2024-04-01,
APPS,Digital Turbine,,2021-09-07,2022-06-29
APY,Apergy Corp.,,2018-05-10,
AR,Antero Resources,Energy,2022-10-20,
ARE,Alexandria Real Estate Equities,,2012-01-13,2017-03-20
ARMK,Aramark,Consumer Discretionary,2023-03-20,
ARRS,ARRIS Group,,2014-06-20,
ARW,Arrow Electronics,Information Technology,2012-01-13,
ARWR,Arrowhead Pharmaceuticals,Health Care,2019-12-13,2025-01-27
ARWR,Arrowhead Pharmaceuticals,Health Care,2026-02-09,
ASB,Associated Bank,Financials,2012-01-13,
ASGN,ASGN Inc.,,2018-10-11,2026-03-23
ASH,Ashland Global,Materials,2012-01-13,
ASNA,Ascena Retail Group,,2012-01-13,2016-11-10
ATGE,Adtalem Global Education,,2012-01-13,2021-07-07
ATI,ATI Inc.,Industrials,2015-07-01,2020-09-21
ATI,ATI Inc.,Industrials,2025-03-24,
ATML,Atmel,,2012-01-13,2016-04-06
ATR,AptarGroup,Materials,2012-01-13,
ATW,Atwood Oceanics,,2012-01-13,2016-01-19
AVAV,AeroVironment,Industrials,2025-07-18,
AVNS,Avanos Medical,,2012-01-13,2021-05-17
AVNT,Avient,Materials,2012-01-13,
AVP,Avon Products,,2012-01-13,2018-03-19
AVT,Avnet,Information Technology,2012-01-13,
AVTR,Avantor,Health Care,2024-07-26,
AXON,Axon Enterprise,,2012-01-13,2023-05-04
AXTA,Axalta,Materials,2023-03-20,
AYI,Acuity Brands,Industrials,2012-01-13,2016-05-03
AYI,Acuity Brands,Industrials,2018-06-18,
AZPN,Aspen Technology,,2021-05-17,2025-03-11
AZTA,Azenta,,2012-01-13,2024-11-25
BAH,Booz Allen Hamilton,Industrials,2025-12-22,
BBBY,Bed Bath & Beyond,,2017-07-26,2020-06-22
BBG,Bill Barrett Corporation,,2012-01-13,2014-09-30
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,2025-03-24,
BC,Brunswick,Consumer Discretionary,2013-12-20,
BCO,Brink's,Industrials,2012-01-13,2014-06-20
BCO,Brink's,Industrials,2017-09-18,
BDC,Belden Inc.,Information Technology,2014-06-30,
BEAV,B/E Aerospace,,2012-01-13,2017-04-19
BERY,Berry Global,,2023-06-19,2025-05-01
BFH,Bread Financial,,2012-01-13,2022-11-02
BGC,General Cable,,2012-01-13,2014-05-30
BHF,Brighthouse Financial,Financials,2019-04-03,
BID,Sotheby's,,2012-01-13,2019-10-03
BILL,Bill Holdings,Information Technology,2024-12-23,
BIO,Bio-Rad Laboratories,Health Care,2012-01-13,2020-06-22
BIO,Bio-Rad Laboratories,Health Care,2024-09-23,
BIVV,Bioverativ,,2017-02-03,2018-03-08
